"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
255,6.351877622,24.006048,
256,12.62492676,23.961344,
257,9.580598381,24.095456,
258,9.616481702,24.14016,
259,8.062079124,24.184864,
260,3.290919337,24.184864,
261,1.636978338,24.050752,
262,1.553642791,23.871936,
263,1.471900484,23.69312,
264,-0.154551367,23.514304,
265,12.01488963,23.290784,
266,1.352248241,23.424896,
267,5.860394471,23.24608,
268,4.306652516,23.201376,
269,4.256763861,23.111968,
270,8.74912274,23.02256,
271,10.29953898,23.067264,
272,11.89552548,23.156672,
273,13.54648189,23.290784,
274,15.26210511,23.4696,
275,15.49434792,23.69312,
276,15.72906152,23.91664,
277,22.31605674,24.14016,
278,16.39960261,24.542496,
279,11.75810907,24.766016,
280,15.10788337,24.855424,
281,8.709301154,25.03424,
282,5.416818738,25.03424,
283,-1.20275118,24.944832,
284,-2.926798613,24.676608,
285,-6.224042133,24.36368,
286,-9.434705431,23.961344,
287,-7.888161884,23.4696,
288,7.235168772,23.02256,
289,7.235168772,23.02256,
290,1.179352899,23.02256,
291,-7.908155114,22.843744,
292,5.344209914,22.396704,
293,8.257704175,22.352,
294,5.344209914,22.396704,
295,0.908413067,22.352,
296,5.214029514,22.173184,
297,6.643431293,22.12848,
298,6.643431293,22.12848,
299,0.822792736,22.12848,
300,-0.687441694,21.949664,
301,-0.754226503,21.726144,
302,-6.47476008,21.502624,
303,-9.254521986,21.100288,
304,-9.185887402,20.608544,
305,-10.42972347,20.1168,
306,-10.29665393,19.580352,
307,-8.899503848,19.043904,
308,-10.00900462,18.55216,
309,-15,18.015712,
310,-12.96800561,17.21104,
311,-15,16.54048,
312,-11.08775012,15.735808,
313,-9.754611694,15.109952,
314,-6.600268823,14.5288,
315,-5.533828441,14.08176,
316,1.767554241,13.679424,
317,-1.830467889,13.63472,
318,-6.238239179,13.4112,
319,-10.34606308,12.96416,
320,-15,12.2936,
321,-15,11.086592,
322,-7.291399175,9.61136,
323,-4.489460327,8.985504,
324,-2.043430283,8.538464,
325,-6.886837812,8.27024,
326,-6.356579924,7.59968,
327,-12.65403011,6.92912,
328,-5.46045684,5.588,
329,-8.223513116,4.828032,
330,-7.28046581,3.57632,
331,-4.283395534,2.101088,
332,-0.49481635,0.625856,
333,0,0,
334,0,0,
335,0,0,
336,0,0,
337,0,0,
338,0,0,
339,0,0,
340,0,0,
341,0,0,
342,0,0,
343,0,0,
344,0,0,
345,0,0,
346,0,0,
347,1.028196642,0.44704,
348,4.423582928,1.922272,
349,7.827701263,3.397504,
350,11.24725299,4.872736,
351,13.85405998,6.347968,
352,14.89675742,7.733792,
353,16.10839785,8.9408,
354,9.597575493,10.0584,
355,12.24042029,10.594848,
356,12.33176915,11.265408,
357,13.85878461,11.891264,
358,18.01619246,12.561824,
359,9.636229614,13.4112,
360,9.939755729,13.768832,
361,7.460106445,14.126464,
362,9.49721888,14.349984,
363,10.71486145,14.662912,
364,12.01941525,15.020544,
365,4.293463429,15.42288,
366,6.34762261,15.467584,
367,2.321430828,15.601696,
368,0.261198094,15.556992,
369,5.307665602,15.42288,
370,11.47384999,15.512288,
371,8.669540589,15.86992,
372,3.540156015,16.09344,
373,3.540156015,16.09344,
374,3.540156015,16.09344,
375,3.540156015,16.09344,
376,3.540156015,16.09344,
377,4.598453935,16.09344,
378,6.741791992,16.138144,
379,4.682309728,16.272256,
380,2.557449898,16.31696,
381,-0.667974199,16.272256,
382,-5.984525261,16.09344,
383,-6.936557811,15.691104,
384,-2.802499857,15.244064,
385,-15,14.97584,
386,-15,14.037056,
387,-15,12.96416,
388,-15,11.488928,
389,-15,10.28192,
390,-15,9.074912,
391,-14.25091181,7.8232,
392,-9.719866063,6.48208,
393,-10.89086277,5.36448,
394,-7.91434573,3.889248,
395,-4.920161522,2.414016,
396,-1.174202941,0.938784,
397,0,0,
398,0,0,
399,0,0,
400,0,0,
401,0,0,
402,0,0,
403,2.67377671,1.162304,
404,6.072559819,2.637536,
405,9.483324111,4.112768,
406,12.91277093,5.588,
407,16.36760161,7.063232,
408,19.8545175,8.538464,
409,18.77074456,10.013696,
410,6.346664222,11.176,
411,16.30651567,11.444224,
412,14.36930501,12.2936,
413,10.96688114,12.96416,
414,3.462825084,13.4112,
415,1.710280778,13.455904,
416,-0.064834648,13.4112,
417,-0.953813904,13.277088,
418,-1.823795429,13.098272,
419,-4.358589676,12.874752,
420,-15,12.51712,
421,-15,11.176,
422,-15,9.700768,
423,-15,8.225536,
424,-13.66491021,6.750304,
425,-10.71109404,5.275072,
426,-7.733315501,3.79984,
427,-4.738275934,2.324608,
428,-0.950712105,0.849376,
429,0,0,
430,0,0,
431,0,0,
432,0,0,
433,0,0,
434,0,0,
435,0,0,
436,0,0,
437,0,0,
438,0,0,
439,0,0,
440,0,0,
441,0,0,
442,0,0,
443,0,0,
444,0,0,
445,0,0,
446,0,0,
447,0,0,
448,3.394063248,1.475232,
449,6.794827836,2.950464,
450,10.20899511,4.425696,
451,13.6432664,5.900928,
452,17.10434305,7.37616,
453,20.5989264,8.851392,
454,24.1337178,10.326624,
455,12.9698009,11.801856,
456,12.90591248,12.427712,
457,22.98635733,13.008864,
458,16.69042787,14.08176,
459,8.853480151,14.75232,
460,14.98264942,15.020544,
461,6.399326027,15.556992,
462,8.541049262,15.691104,
463,8.701828451,15.914624,
464,2.496841448,16.138144,
465,4.598453935,16.09344,
466,4.61931672,16.138144,
467,1.447714766,16.182848,
468,0.365262257,16.09344,
469,6.635225157,15.959328,
470,3.540156015,16.09344,
471,-0.693035663,16.09344,
472,2.422594128,15.914624,
473,2.407944565,15.86992,
474,1.35270158,15.825216,
475,3.399172509,15.735808,
476,3.399172509,15.735808,
477,3.399172509,15.735808,
478,3.399172509,15.735808,
479,3.399172509,15.735808,
480,1.329612133,15.735808,
481,4.393487507,15.6464,
482,4.413687376,15.691104,
483,6.503513073,15.735808,
484,0.32074589,15.86992,
485,1.329612133,15.735808,
486,3.364586752,15.6464,
487,3.364586752,15.6464,
488,1.306785242,15.6464,
489,1.284219416,15.556992,
490,2.279055052,15.467584,
491,-6.862760473,15.42288,
492,-11.65866314,14.97584,
493,-14.99718323,14.30528,
494,-15,13.455904,
495,-15,12.51712,
496,-15,11.39952,
497,-15,10.0584,
498,-15,8.851392,
499,-14.90916902,7.37616,
500,-10.41537297,5.900928,
501,-8.754544509,4.604512,
502,-6.343480684,3.218688,
503,-3.293434122,1.78816,
