"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
1066,4.454012332,11.84656,
1067,6.881285528,11.980672,
1068,6.257554835,12.248896,
1069,5.57553842,12.472416,
1070,-0.148331785,12.651232,
1071,-1.807698505,12.51712,
1072,-1.799135423,12.2936,
1073,2.179326871,12.07008,
1074,-3.376737206,12.07008,
1075,-11.82428831,11.757152,
1076,-12.5251084,10.95248,
1077,-4.9540209,10.0584,
1078,-4.131203999,9.61136,
1079,-14.27741517,9.209024,
1080,-14.64815095,8.04672,
1081,-10.93007254,6.7056,
1082,-3.567059993,5.498592,
1083,-0.94458145,4.962144,
1084,-1.217217088,4.738624,
1085,-0.858187741,4.4704,
1086,-0.538883995,4.24688,
1087,-0.518298323,4.068064,
1088,0.269824848,3.889248,
1089,1.02470786,3.844544,
1090,1.049490042,3.933952,
1091,-0.248534536,4.02336,
1092,0.269824848,3.889248,
1093,-0.997817053,3.844544,
1094,-1.871387555,3.57632,
1095,-3.698528928,3.12928,
1096,-0.881706005,2.2352,
1097,-1.729338486,1.877568,
1098,-1.071422038,1.162304,
1099,-0.235881428,0.44704,
1100,0,0,
1101,0.020504527,0.044704,
1102,0.211225182,0.268224,
1103,1.033731181,0.715264,
1104,3.702846054,1.609344,
1105,6.698871284,3.084576,
1106,8.842876521,4.4704,
1107,5.32373903,5.722112,
1108,2.95591051,6.25856,
1109,7.330489307,6.48208,
1110,10.93369348,7.15264,
1111,11.34484631,8.091424,
1112,7.289248524,8.9408,
1113,2.741746442,9.38784,
1114,2.150199351,9.477248,
1115,2.163155237,9.521952,
1116,3.43434948,9.566656,
1117,6.680807116,9.700768,
1118,4.967522095,10.0584,
1119,7.122577967,10.28192,
1120,6.698361023,10.639552,
1121,5.480654812,10.95248,
1122,1.202160447,11.176,
1123,1.193490194,11.131296,
1124,3.372015407,11.086592,
1125,4.876806001,11.176,
1126,4.970749392,11.354816,
1127,3.548556931,11.533632,
1128,5.113089144,11.62304,
1129,3.656779213,11.801856,
1130,4.475209726,11.891264,
1131,2.957532822,12.025376,
1132,2.179326871,12.07008,
1133,2.179326871,12.07008,
1134,1.385603432,12.07008,
1135,1.375965375,12.025376,
1136,2.154221488,11.980672,
1137,-0.209310533,11.980672,
1138,1.337912903,11.84656,
1139,-0.999731633,11.801856,
1140,-1.765847332,11.62304,
1141,-4.750806824,11.39952,
1142,-6.063945167,10.997184,
1143,-12.04893673,10.50544,
1144,-7.923438211,9.61136,
1145,-13.28876658,8.9408,
1146,-6.53415615,7.8232,
1147,-8.350846384,7.15264,
1148,-12.68338097,6.25856,
1149,-9.720832748,4.783328,
1150,-6.73655594,3.308096,
1151,-3.737251883,1.832864,
1152,-0.14167863,0.357632,
1153,0,0,
1154,0,0,
1155,0,0,
1156,0,0,
1157,0,0,
1158,0,0,
1159,0,0,
1160,0,0,
1161,0,0,
1162,0,0,
1163,0,0,
1164,0,0,
1165,0,0,
1166,0,0,
1167,0,0,
1168,0,0,
1169,2.159435506,0.938784,
1170,5.556987881,2.414016,
1171,8.965506087,3.889248,
1172,12.39169146,5.36448,
1173,15.84224535,6.839712,
1174,14.94957102,8.314944,
1175,13.30232605,9.432544,
1176,5.094173621,10.28192,
1177,-1.686436265,10.50544,
1178,-1.667174198,10.28192,
1179,-14.8755639,10.0584,
1180,-15,8.9408,
1181,-15,7.465568,
1182,-12.1466541,5.990336,
1183,-9.179656783,4.515104,
1184,-6.192149301,3.039872,
1185,-3.190832996,1.56464,
1186,-0.00014679,0.089408,
1187,0,0,
1188,0,0,
1189,0,0,
1190,0,0,
1191,0,0,
1192,0,0,
1193,0,0,
1194,0,0,
1195,0,0,
1196,0,0,
1197,0.088044703,0.089408,
1198,0.96910853,0.67056,
1199,3.291241761,1.56464,
1200,6.691611261,2.90576,
1201,6.936259604,4.380992,
1202,3.925308106,5.36448,
1203,1.194903475,5.766816,
1204,-0.705602962,5.81152,
1205,1.534523578,5.632704,
1206,1.937185688,5.722112,
1207,0.830443365,5.856224,
1208,4.296369051,5.856224,
1209,7.07151353,6.25856,
1210,7.850492081,6.92912,
1211,9.135725731,7.59968,
1212,7.294549402,8.314944,
1213,8.909990215,8.806688,
1214,4.593767801,9.38784,
1215,3.453264424,9.61136,
1216,1.587676001,9.745472,
1217,-0.334898553,9.745472,
1218,-0.338969787,9.61136,
1219,3.396639122,9.477248,
1220,3.453264424,9.61136,
1221,2.86939237,9.745472,
1222,0.961493785,9.83488,
1223,0.31033748,9.790176,
1224,0.301622434,9.700768,
1225,1.557147318,9.61136,
1226,0.925108283,9.61136,
1227,-6.631239621,9.566656,
1228,-2.125928307,8.985504,
1229,-0.357133216,8.71728,
1230,3.592412134,8.583168,
1231,2.524339225,8.761984,
1232,2.554946876,8.851392,
1233,-1.529900805,8.9408,
1234,-10.10229322,8.71728,
1235,-9.106408038,7.8232,
1236,-10.37574987,6.92912,
1237,-10.64184454,5.81152,
1238,-5.267762406,4.4704,
1239,-4.223160709,3.57632,
1240,-3.172591823,2.68224,
1241,-1.529604256,1.78816,
1242,-1.177238946,1.1176,
1243,-0.10339405,0.312928,
1244,0,0,
1245,0,0,
1246,0,0,
1247,0,0,
1248,0,0,
1249,0,0,
1250,0,0,
1251,0,0,
1252,0.058090216,0.44704,
1253,0.058090216,0.44704,
1254,0.058090216,0.44704,
1255,0.058090216,0.44704,
1256,0.234473202,0.44704,
1257,0.751518402,0.715264,
1258,1.056931479,1.34112,
1259,1.410112187,1.78816,
1260,2.204996261,2.2352,
1261,3.521980111,2.816352,
1262,5.183931909,3.57632,
1263,2.081528702,4.4704,
1264,-2.441103372,4.69392,
1265,-2.214522368,4.24688,
1266,-1.736293957,3.79984,
1267,3.13591382,3.397504,
1268,6.223390982,3.933952,
1269,10.38108107,4.91744,
1270,13.24491806,6.25856,
1271,13.63349189,7.59968,
1272,9.9612715,8.71728,
1273,6.44578916,9.38784,
1274,4.151108739,9.745472,
1275,6.849887305,9.924288,
1276,5.770308403,10.28192,
1277,5.247572846,10.550144,
1278,4.668142382,10.773664,
1279,1.879502169,10.95248,
1280,-1.721650474,10.95248,
1281,-1.704602793,10.72896,
1282,1.767730556,10.50544,
1283,1.767730556,10.50544,
1284,1.767730556,10.50544,
1285,1.767730556,10.50544,
1286,1.767730556,10.50544,
1287,5.221897376,10.50544,
1288,2.528588885,10.72896,
1289,4.668142382,10.773664,
1290,3.319963226,10.95248,
1291,4.080728645,11.041888,
1292,4.876806001,11.176,
1293,3.477373438,11.354816,
1294,2.7603023,11.444224,
1295,4.286196484,11.488928,
1296,3.584436594,11.62304,
1297,8.241744439,11.712448,
1298,8.529114388,12.07008,
1299,6.367983106,12.427712,
1300,8.171065749,12.651232,
1301,3.294221219,12.96416,
1302,1.599920209,13.008864,
1303,-6.083474235,12.96416,
1304,-15,12.51712,
1305,-15,11.041888,
1306,-15,9.566656,
1307,-15,8.091424,
1308,-13.39754787,6.616192,
1309,-10.44127638,5.14096,
1310,-7.461651746,3.665728,
1311,-4.465375292,2.190496,
1312,-0.659545491,0.715264,
1313,0,0,
1314,0,0,
1315,0,0,
1316,0,0,
1317,0,0,
1318,0,0,
1319,0,0,
1320,0,0,
1321,0,0,
1322,0,0,
1323,0,0,
1324,0,0,
1325,0,0,
1326,0,0,
1327,0,0,
1328,0,0,
1329,0,0,
1330,0,0,
1331,0,0,
1332,0,0,
1333,0,0,
1334,0,0,
1335,0,0,
1336,0,0,
1337,0,0,
1338,1.542353236,0.67056,
1339,4.938631803,2.145792,
1340,8.344657775,3.621024,
1341,6.740217373,5.096256,
1342,8.210670409,5.900928,
1343,8.529948937,6.750304,
1344,8.53084465,7.510272,
1345,7.708567451,8.180832,
1346,5.948558555,8.71728,
1347,7.406214905,9.074912,
1348,5.293953249,9.521952,
1349,2.885529085,9.790176,
1350,3.567602548,9.879584,
1351,-0.984149943,10.013696,
1352,-0.978719068,9.83488,
1353,-1.607610553,9.656064,
1354,-2.20467819,9.432544,
1355,-1.555246609,9.16432,
1356,-0.941957517,8.9408,
1357,-4.966058272,8.761984,
1358,-4.167600102,8.27024,
1359,-3.961904262,7.8232,
1360,-3.752945115,7.37616,
1361,-5.81918938,6.92912,
1362,-11.44870006,6.25856,
1363,-9.021047459,4.91744,
1364,-6.104579233,3.57632,
1365,-3.821084403,2.324608,
1366,-1.691689324,1.1176,
1367,0,0,
1368,0,0,
1369,0,0,
